s5a1_1_4_9_10_0.0_LSTM,_,_
all = 9000,neg = 0,pro = 0
_,_,_
s5a2_1_4_9_10_0.01_LSTM,_,_
all = 8097,neg = 74,pro = 0.0091392
_,_,_
s5a3_1_4_9_10_0.05_LSTM,_,_
all = 6922,neg = 344,pro = 0.049697
_,_,_
s5a4_1_4_9_10_0.1_LSTM,_,_
all = 5954,neg = 594,pro = 0.099765
_,_,_
s5c1_2_4_9_10_0.0_LSTM,_,_
all = 9000,neg = 0,pro = 0
_,_,_
s5c2_2_4_9_10_0.01_LSTM,_,_
all = 7300,neg = 81,pro = 0.011096
_,_,_
s5c3_2_4_9_10_0.05_LSTM,_,_
all = 6620,neg = 313,pro = 0.047281
_,_,_
s5c4_1_4_9_10_0.1_LSTM,_,_
all = 6573,neg = 626,pro = 0.095238
_,_,_
