s3ka1_1_4_9_10_0.0_LSTM,_,_,_
all = 8398,neg = 0,zero = 0,pro = 0
_,_,_,_
s3ka2_1_4_9_10_0.01_LSTM,_,_,_
all = 7048,neg = 281,zero = 0,pro = 0.039869
_,_,_,_
s3ka3_1_4_9_10_0.05_LSTM,_,_,_
all = 4934,neg = 491,zero = 0,pro = 0.099514
_,_,_,_
s3ka4_1_4_9_10_0.1_LSTM,_,_,_
all = 3857,neg = 576,zero = 0,pro = 0.14934
_,_,_,_
s3kc1_2_4_9_10_0.0_LSTM,_,_,_
all = 7920,neg = 0,zero = 0,pro = 0
_,_,_,_
s3kc2_2_4_9_10_0.01_LSTM,_,_,_
all = 7695,neg = 128,zero = 0,pro = 0.016634
_,_,_,_
s3kc3_2_4_9_10_0.05_LSTM,_,_,_
all = 5087,neg = 530,zero = 0,pro = 0.10419
_,_,_,_
s3kc4_2_4_9_10_0.1_LSTM,_,_,_
all = 4715,neg = 474,zero = 0,pro = 0.10053
_,_,_,_
